weight,source,target
21842,i,m
13603,don,t
10788,it,s
7378,ain,t
6898,and,i
6124,you,re
5395,can,t
5183,in,the
4845,i,don
4503,i,can
4403,i,know
4009,i,ll
3480,but,i
3394,on,the
3285,me,i
3183,you,can
3003,like,a
2902,if,you
2832,you,know
2774,that,s
2671,that,i
2658,when,i
2596,i,ve
2475,to,the
2346,i,wanna
2309,i,got
2289,what,i
2284,when,you
2270,you,i
2263,i,was
2151,got,a
2123,know,i
1979,s,a
1972,and,you
1910,in,my
1850,the,way
1846,i,ain
1821,on,my
1817,at,the
1774,on,a
1767,with,you
1757,won,t
1750,in,a
1750,if,i
1743,that,you
1732,do,it
1728,oh,oh
1692,i,just
1690,but,you
1689,i,could
1675,she,s
1672,all,the
1670,you,don
1667,t,know
1658,cause,i
1658,tell,me
1649,baby,i
1565,in,your
1557,yeah,i
1510,for,me
1505,to,you
1503,like,i
1495,to,be
1492,for,the
1489,think,i
1487,ve,been
1474,with,me
1470,yeah,yeah
1465,with,the
1451,t,wanna
1449,zebani,zebani
1434,let,s
1423,i,d
1414,there,s
1406,me,and
1402,know,what
1400,of,the
1397,on,me
1394,know,you
1382,i,think
1379,m,a
1344,love,me
1323,for,you
1314,i,need
1277,my,mind
1277,it,up
1242,like,you
1238,me,you
1230,t,you
1221,my,heart
1211,to,me
1206,in,love
1205,i,ma
1199,make,me
1194,with,a
1173,i,love
1172,now,i
1156,la,la
1141,me,to
1134,didn,t
1132,you,and
1132,know,that
1128,and,the
1118,look,like
1112,so,i
1102,it,was
1091,love,you
1088,oh,i
1080,of,my
1071,let,me
1060,he,s
1050,ah,ah
1029,you,ll
1018,m,in
1008,ll,be
998,i,want
997,and,it
997,we,re
997,show,you
993,you,got
990,the,world
989,have,to
984,ooh,ooh
982,what,you
977,go,go
970,me,a
967,out,of
947,it,i
945,you,ain
939,it,in
936,não,pare
934,out,the
929,say,you
925,s,the
925,like,the
921,it,all
920,all,night
920,uh,uh
902,my,life
897,right,now
895,time,i
894,for,a
891,you,love
890,who,s
871,love,with
869,t,even
863,way,you
861,bitch,i
861,wanna,show
859,all,i
858,you,d
855,you,were
855,i,like
852,how,you
849,it,to
841,t,be
838,bout,to
838,no,more
837,hey,hey
833,you,want
830,you,look
826,m,gonna
826,to,go
825,t,got
