weight,source,target
3278,i,m
2114,don,t
1462,it,s
1159,ain,t
1067,in,the
949,and,i
792,i,don
758,can,t
732,you,re
610,on,the
610,i,can
583,i,know
535,but,i
528,i,ll
474,that,i
458,that,s
454,i,was
434,if,you
431,you,know
428,in,my
425,i,got
420,oh,oh
418,when,i
413,to,the
411,me,i
386,you,can
385,la,la
365,like,a
334,s,a
311,you,i
307,on,my
305,i,ain
303,i,ve
301,of,the
300,i,am
300,i,just
299,all,the
298,to,be
294,know,i
292,when,you
291,on,a
289,in,a
279,if,i
275,yeah,yeah
272,for,the
269,let,s
267,what,i
256,and,you
256,with,me
256,that,you
256,got,a
255,with,the
254,i,love
252,for,me
250,the,way
249,yeah,i
248,tell,me
245,won,t
244,to,me
234,at,the
229,t,know
229,i,need
225,cause,i
223,for,you
220,there,s
218,she,s
218,me,and
214,now,i
212,like,i
211,with,a
210,with,you
210,it,i
208,i,want
206,i,could
206,in,your
203,you,are
201,do,it
201,you,don
199,i,wanna
198,know,that
198,but,you
196,i,have
196,out,of
195,i,do
194,ve,been
194,m,a
192,t,wanna
191,out,the
189,and,the
188,let,me
185,on,me
184,i,ma
179,so,i
178,to,you
177,of,my
177,know,you
177,do,not
175,all,my
175,bitch,i
174,love,you
173,what,you
172,do,you
172,that,shit
170,it,was
170,i,d
168,you,and
168,i,will
168,know,what
167,from,the
164,t,even
164,s,the
163,to,get
163,have,to
161,on,your
161,you,you
160,he,s
159,right,now
159,this,is
157,my,heart
157,didn,t
157,baby,i
153,it,up
153,my,life
152,like,you
152,want,to
151,da,da
151,ll,be
150,i,think
149,i,get
149,for,a
149,me,you
148,me,to
148,oh,i
148,it,to
147,this,shit
147,you,want
146,it,all
142,uh,uh
142,t,you
139,in,love
139,you,got
138,and,it
138,the,same
137,we,re
137,used,to
137,you,were
136,na,na
135,t,want
133,you,a
133,m,in
132,up,in
132,m,not
132,to,my
132,go,go
131,it,is
131,my,mind
130,t,be
130,t,no
130,m,the
130,ah,ah
127,through,the
127,like,the
126,you,ll
125,but,it
125,think,i
124,of,a
124,a,nigga
123,i,had
123,time,i
123,y,all
122,make,me
121,t,have
