Id,Label
i,i
m,m
don,don
t,t
it,it
s,s
ain,ain
in,in
the,the
and,and
can,can
you,you
re,re
on,on
know,know
but,but
ll,ll
that,that
was,was
if,if
my,my
got,got
oh,oh
when,when
to,to
me,me
la,la
like,like
a,a
ve,ve
of,of
am,am
just,just
all,all
be,be
yeah,yeah
for,for
let,let
what,what
with,with
love,love
way,way
tell,tell
won,won
at,at
need,need
cause,cause
there,there
she,she
now,now
want,want
could,could
your,your
are,are
do,do
wanna,wanna
have,have
out,out
been,been
ma,ma
so,so
not,not
bitch,bitch
shit,shit
d,d
will,will
from,from
even,even
get,get
he,he
right,right
this,this
is,is
heart,heart
didn,didn
baby,baby
up,up
life,life
da,da
think,think
uh,uh
same,same
we,we
used,used
were,were
na,na
go,go
mind,mind
no,no
ah,ah
through,through
nigga,nigga
had,had
time,time
y,y
make,make
how,how
look,look
feel,feel
little,little
give,give
world,world
see,see
one,one
say,say
then,then
said,said
ooh,ooh
bout,bout
every,every
who,who
would,would
did,did
fuck,fuck
hey,hey
hate,hate
where,where
gonna,gonna
head,head
they,they
try,try
these,these
niggas,niggas
hope,hope
best,best
hoodrat,hoodrat
told,told
zebani,zebani
night,night
more,more
still,still
girl,girl
back,back
huh,huh
better,better
lot,lot
put,put
call,call
much,much
by,by
wasn,wasn
should,should
thought,thought
keep,keep
ready,ready
than,than
might,might
truth,truth
take,take
never,never
man,man
about,about
swear,swear
off,off
care,care
day,day
show,show
done,done
only,only
couldn,couldn
hol,hol
ayy,ayy
guess,guess
long,long
new,new
good,good
down,down
as,as
door,door
going,going
pull,pull
devil,devil
why,why
name,name
wouldn,wouldn
wish,wish
gave,gave
party,party
eyes,eyes
really,really
too,too
first,first
santa,santa
claus,claus
talk,talk
woah,woah
close,close
next,next
til,til
couple,couple
thing,thing
stop,stop
everything,everything
city,city
come,come
em,em
end,end
fell,fell
whole,whole
ex,ex
talking,talking
full,full
him,him
bad,bad
knew,knew
bounce,bounce
few,few
sun,sun
tried,tried
ride,ride
ла,ла
mm,mm
floor,floor
most,most
trust,trust
sky,sky
apateu,apateu
million,million
fucked,fucked
her,her
took,took
gon,gon
club,club
must,must
god,god
over,over
saw,saw
while,while
gotta,gotta
because,because
act,act
paid,paid
somebody,somebody
wait,wait
here,here
tired,tired
hoes,hoes
made,made
miss,miss
hit,hit
mean,mean
bitches,bitches
again,again
bye,bye
ever,ever
face,face
play,play
hard,hard
well,well
fli,fli
before,before
hands,hands
okay,okay
feels,feels
ok,ok
top,top
waiting,waiting
merry,merry
christmas,christmas
always,always
own,own
tonight,tonight
them,them
went,went
hold,hold
real,real
tryna,tryna
catch,catch
late,late
soul,soul
ass,ass
hell,hell
dog,dog
dance,dance
doesn,doesn
brand,brand
wanted,wanted
grew,grew
haven,haven
lil,lil
light,light
friends,friends
road,road
bet,bet
streets,streets
star,star
bar,bar
last,last
his,his
worst,worst
thinkin,thinkin
tore,tore
year,year
other,other
ha,ha
body,body
hundred,hundred
phone,phone
knife,knife
supposed,supposed
yes,yes
money,money
found,found
left,left
sorry,sorry
ho,ho
matter,matter
talkin,talkin
without,without
big,big
deserve,deserve
bae,bae
guy,guy
air,air
bought,bought
beg,beg
forgiveness,forgiveness
gidy,gidy
came,came
brother,brother
lose,lose
heard,heard
forget,forget
street,street
nights,nights
under,under
does,does
stick,stick
eh,eh
please,please
away,away
leave,leave
girls,girls
isn,isn
two,two
ask,ask
boy,boy
fall,fall
stay,stay
fire,fire
comin,comin
n,n
g,g
lie,lie
round,round
some,some
an,an
angel,angel
что,что
я,я
thousand,thousand
side,side
ya,ya
house,house
kind,kind
wrong,wrong
fast,fast
dick,dick
lo,lo
walk,walk
sometimes,sometimes
biggest,biggest
many,many
into,into
home,home
woke,woke
tick,tick
tock,tock
hear,hear
goin,goin
find,find
типа,типа
того,того
breath,breath
gettin,gettin
gang,gang
since,since
neck,neck
livin,livin
around,around
deep,deep
save,save
car,car
lookin,lookin
heaven,heaven
moon,moon
feeling,feeling
jingle,jingle
bells,bells
kiss,kiss
longer,longer
together,together
trying,trying
не,не
help,help
soon,soon
fool,fool
turn,turn
game,game
crazy,crazy
none,none
old,old
remember,remember
watch,watch
tryin,tryin
mine,mine
high,high
mama,mama
until,until
nobody,nobody
anything,anything
у,у
меня,меня
friend,friend
redrum,redrum
pain,pain
promise,promise
maybe,maybe
pray,pray
wake,wake
bag,bag
dead,dead
wonder,wonder
line,line
town,town
someone,someone
feet,feet
or,or
somethin,somethin
break,break
river,river
loved,loved
listen,listen
such,such
cut,cut
burn,burn
believe,believe
song,song
foot,foot
rest,rest
each,each
wants,wants
myself,myself
scared,scared
send,send
nothin,nothin
fuckin,fuckin
understand,understand
things,things
hand,hand
met,met
turned,turned
ground,ground
three,three
ones,ones
lights,lights
wind,wind
fried,fried
bottom,bottom
alone,alone
heat,heat
die,die
times,times
rather,rather
bed,bed
proud,proud
far,far
middle,middle
goes,goes
mistletoe,mistletoe
looka,looka
watchin,watchin
knows,knows
belong,belong
woman,woman
hills,hills
waste,waste
vibe,vibe
потому,потому
felt,felt
black,black
weren,weren
hurt,hurt
nasty,nasty
runnin,runnin
movin,movin
flirt,flirt
least,least
tellin,tellin
type,type
feliz,feliz
navidad,navidad
falling,falling
lost,lost
doin,doin
kill,kill
l,l
piece,piece
startin,startin
finna,finna
cannot,cannot
stars,stars
underneath,underneath
knees,knees
wrist,wrist
beat,beat
wild,wild
gimme,gimme
pick,pick
already,already
pussy,pussy
very,very
cry,cry
touch,touch
grow,grow
chest,chest
ridin,ridin
summer,summer
us,us
country,country
half,half
adore,adore
буду,буду
trap,trap
open,open
bit,bit
both,both
dream,dream
start,start
ма,ма
tears,tears
sure,sure
fore,fore
sleep,sleep
fly,fly
young,young
throughout,throughout
wrote,wrote
bell,bell
lies,lies
reason,reason
having,having
family,family
sayin,sayin
calls,calls
ты,ты
таков,таков
truck,truck
inside,inside
dark,dark
ding,ding
dong,dong
speak,speak
run,run
spent,spent
mouth,mouth
part,part
evil,evil
their,their
gone,gone
today,today
bigx,bigx
control,control
hits,hits
twin,twin
throw,throw
gun,gun
pair,pair
change,change
morning,morning
wonderful,wonderful
christmastime,christmastime
thanks,thanks
clock,clock
cure,cure
hurts,hurts
turnt,turnt
work,work
case,case
sit,sit
fault,fault
bunda,bunda
mess,mess
white,white
hot,hot
friday,friday
wall,wall
hide,hide
once,once
simply,simply
buy,buy
fucking,fucking
cold,cold
moment,moment
stage,stage
front,front
alright,alright
spend,spend
set,set
dreams,dreams
trouble,trouble
lord,lord
makes,makes
squabble,squabble
giddy,giddy
feelin,feelin
feather,feather
pour,pour
thank,thank
bottle,bottle
metro,metro
chimney,chimney
wife,wife
backseat,backseat
says,says
boss,boss
knee,knee
sexyy,sexyy
luck,luck
illegal,illegal
check,check
steppin,steppin
past,past
halfway,halfway
beautiful,beautiful
o,o
though,though
nah,nah
pride,pride
pom,pom
pop,pop
rosa,rosa
arms,arms
place,place
move,move
fight,fight
eat,eat
posed,posed
born,born
live,live
looking,looking
week,week
pullin,pullin
freak,freak
sweet,sweet
meet,meet
across,across
driver,driver
comes,comes
mirror,mirror
worth,worth
five,five
showed,showed
clouds,clouds
feelings,feelings
pink,pink
pony,pony
collide,collide
flirting,flirting
favorite,favorite
greatest,greatest
forgot,forgot
block,block
crown,crown
mom,mom
snow,snow
room,room
makin,makin
rockstar,rockstar
small,small
fan,fan
people,people
murder,murder
fine,fine
hang,hang
number,number
wakin,wakin
jet,jet
h,h
bring,bring
mad,mad
jumpin,jumpin
father,father
story,story
police,police
deny,deny
started,started
movie,movie
television,television
lovin,lovin
trenches,trenches
whip,whip
kitchen,kitchen
upside,upside
skin,skin
fit,fit
red,red
favor,favor
drive,drive
whiskey,whiskey
has,has
tree,tree
halloween,halloween
whatever,whatever
buckin,buckin
brothers,brothers
takin,takin
kids,kids
drink,drink
slide,slide
wherever,wherever
crash,crash
goodbye,goodbye
shouldn,shouldn
broken,broken
obsessed,obsessed
diamonds,diamonds
walked,walked
learn,learn
drop,drop
stand,stand
bathroom,bathroom
jolene,jolene
sluts,sluts
dancefloor,dancefloor
twenty,twenty
four,four
mornin,mornin
problems,problems
true,true
version,version
hop,hop
everywhere,everywhere
smoke,smoke
e,e
j,j
kid,kid
something,something
motherfucker,motherfucker
blunts,blunts
our,our
wizard,wizard
bound,bound
mother,mother
fun,fun
fa,fa
ends,ends
enough,enough
geekin,geekin
which,which
earth,earth
darkness,darkness
damn,damn
looks,looks
rich,rich
held,held
airport,airport
losin,losin
ghost,ghost
fame,fame
shoulder,shoulder
prove,prove
language,language
lips,lips
スター,スター
shut,shut
praises,praises
aside,aside
keeps,keeps
watching,watching
jah,jah
dash,dash
exes,exes
mud,mud
losing,losing
photos,photos
heavy,heavy
blame,blame
window,window
seen,seen
wide,wide
mr,mr
grinch,grinch
pricey,pricey
au,au
ear,ear
french,french
near,near
pretend,pretend
pre,pre
womp,womp
вот,вот
use,use
brain,brain
реально,реально
business,business
course,course
babe,babe
trip,trip
coming,coming
pretty,pretty
lickin,lickin
mood,mood
fed,fed
lied,lied
standing,standing
dear,dear
supernatural,supernatural
years,years
double,double
p,p
afraid,afraid
fallin,fallin
choose,choose
hair,hair
edge,edge
blues,blues
titties,titties
sound,sound
sick,sick
daddy,daddy
lots,lots
another,another
raised,raised
words,words
filled,filled
bank,bank
chain,chain
cars,cars
forever,forever
знаю,знаю
yet,yet
build,build
starts,starts
hood,hood
disease,disease
outfit,outfit
excited,excited
job,job
bumpin,bumpin
everybody,everybody
chevrolet,chevrolet
nothing,nothing
boat,boat
kisses,kisses
lemme,lemme
lotta,lotta
happy,happy
millionaire,millionaire
locked,locked
smile,smile
along,along
innocence,innocence
dum,dum
missin,missin
cowgirls,cowgirls
pay,pay
drugs,drugs
become,become
killed,killed
dancing,dancing
windows,windows
fix,fix
monster,monster
mash,mash
days,days
lyin,lyin
corner,corner
write,write
anyway,anyway
holiday,holiday
else,else
probably,probably
six,six
dollars,dollars
cool,cool
butt,butt
naked,naked
spot,spot
release,release
treat,treat
count,count
minute,minute
second,second
sleigh,sleigh
after,after
roof,roof
asked,asked
yourself,yourself
funny,funny
outside,outside
fifty,fifty
ten,ten
horse,horse
judge,judge
radio,radio
stole,stole
jack,jack
future,future
happened,happened
bend,bend
bird,bird
saint,saint
nick,nick
chance,chance
special,special
death,death
drunk,drunk
weather,weather
givin,givin
worried,worried
boys,boys
kept,kept
walkin,walkin
fah,fah
porch,porch
south,south
eight,eight
word,word
different,different
single,single
sheets,sheets
beauty,beauty
table,table
tipsy,tipsy
ladies,ladies
instead,instead
beginning,beginning
sing,sing
swift,swift
power,power
shine,shine
dirt,dirt
church,church
walls,walls
stranger,stranger
dreaming,dreaming
curb,curb
daughter,daughter
но,но
bilmiyor,bilmiyor
kimse,kimse
taylor,taylor
timeless,timeless
shawty,shawty
anywhere,anywhere
shake,shake
titty,titty
ey,ey
hole,hole
claustrophobic,claustrophobic
shorty,shorty
wrap,wrap
funeral,funeral
ice,ice
freakin,freakin
water,water
hotter,hotter
sweat,sweat
blow,blow
так,так
called,called
moved,moved
guys,guys
boons,boons
miles,miles
blah,blah
obvious,obvious
bowl,bowl
stuck,stuck
только,только
goat,goat
gives,gives
coupe,coupe
prayer,prayer
baow,baow
learned,learned
pieces,pieces
seeing,seeing
button,button
press,press
soldier,soldier
war,war
running,running
sippin,sippin
forgive,forgive
ran,ran
seat,seat
lay,lay
core,core
ski,ski
jealous,jealous
shoes,shoes
tongue,tongue
gold,gold
одна,одна
плохая,плохая
pj,pj
attached,attached
то,то
hatin,hatin
yacht,yacht
pulled,pulled
bust,bust
seven,seven
2,2
victim,victim
aren,aren
largest,largest
shot,shot
trappin,trappin
carry,carry
paint,paint
taste,taste
teeth,teeth
glock,glock
bright,bright
kink,kink
between,between
bone,bone
dry,dry
femininomenon,femininomenon
getting,getting
happen,happen
liar,liar
settle,settle
breakin,breakin
ahead,ahead
winter,winter
eye,eye
strip,strip
any,any
thinking,thinking
poison,poison
worry,worry
slimin,slimin
วร,วร
าย,าย
chains,chains
those,those
saved,saved
known,known
higher,higher
overcompensate,overcompensate
hesitate,hesitate
sip,sip
cup,cup
built,built
magic,magic
sent,sent
needed,needed
kinda,kinda
gym,gym
risk,risk
rudolph,rudolph
horses,horses
model,model
crime,crime
cops,cops
nother,nother
thriller,thriller
rain,rain
slow,slow
hours,hours
pants,pants
scrape,scrape
tight,tight
honey,honey
trunk,trunk
plan,plan
impossible,impossible
turtle,turtle
race,race
sand,sand
selling,selling
meine,meine
feinde,feinde
york,york
houdini,houdini
low,low
cell,cell
killer,killer
hips,hips
doors,doors
fact,fact
against,against
kicked,kicked
bless,bless
damned,damned
child,child
main,main
goddamn,goddamn
misfit,misfit
addicted,addicted
perfect,perfect
losers,losers
saturday,saturday
pistol,pistol
lucky,lucky
billion,billion
toes,toes
died,died
для,для
beef,beef
glad,glad
hopes,hopes
b,b
uoy,uoy
wonk,wonk
fraid,fraid
espresso,espresso
standin,standin
girlfriend,girlfriend
music,music
racks,racks
doo,doo
это,это
starin,starin
sittin,sittin
land,land
chase,chase
memory,memory
drown,drown
opp,opp
он,он
начал,начал
woo,woo
thoughts,thoughts
roll,roll
dude,dude
yours,yours
read,read
changed,changed
x,x
john,john
papa,papa
guitar,guitar
magnetic,magnetic
forth,forth
aim,aim
rolls,rolls
rock,rock
electrical,electrical
gangster,gangster
bones,bones
ich,ich
bin,bin
как,как
holly,holly
space,space
ta,ta
chevy,chevy
caught,caught
jolly,jolly
neon,neon
buried,buried
spanish,spanish
feature,feature
просто,просто
mantra,mantra
calling,calling
za,za
rom,rom
cross,cross
phantom,phantom
tie,tie
pedal,pedal
crowd,crowd
looked,looked
question,question
breathe,breathe
verse,verse
holdin,holdin
если,если
point,point
можешь,можешь
goals,goals
shirt,shirt
первым,первым
cash,cash
score,score
а,а
rapper,rapper
team,team
price,price
women,women
giving,giving
deal,deal
school,school
mission,mission
birthday,birthday
mask,mask
wear,wear
maybach,maybach
rebel,rebel
news,news
sell,sell
track,track
anymore,anymore
wop,wop
percent,percent
dancin,dancin
chasin,chasin
tat,tat
storm,storm
nowhere,nowhere
threw,threw
gram,gram
paper,paper
wheel,wheel
whips,whips
purpose,purpose
lock,lock
fans,fans
и,и
carnival,carnival
от,от
boom,boom
hmm,hmm
field,field
meant,meant
groove,groove
playin,playin
был,был
takes,takes
figure,figure
honor,honor
ville,ville
problem,problem
benz,benz
bigger,bigger
thot,thot
deeper,deeper
walking,walking
holidays,holidays
mall,mall
unless,unless
straight,straight
switch,switch
lunch,lunch
นฟ,นฟ
าไปไกล,าไปไกล
suck,suck
pack,pack
romantic,romantic
throwin,throwin
insecurities,insecurities
