Source,Target,Type,Id,Label,Weight
thing,need,Undirected,463,,498
thing,beautiful,Undirected,469,,329
thing,good,Undirected,481,,281
thing,way,Undirected,493,,230
thing,stay,Undirected,497,,301
thing,find,Undirected,499,,235
thing,lose,Undirected,503,,252
thing,baby,Undirected,510,,304
thing,long,Undirected,521,,230
thing,love,Undirected,536,,437
thing,bad,Undirected,563,,193
thing,think,Undirected,613,,242
thing,wild,Undirected,780,,932
thing,one,Undirected,1098,,728
need,baby,Undirected,1479,,285
need,hold,Undirected,1485,,225
need,fire,Undirected,1486,,266
need,love,Undirected,1500,,584
need,feel,Undirected,1522,,236
need,good,Undirected,1539,,295
need,way,Undirected,1553,,205
need,stay,Undirected,1564,,413
need,beautiful,Undirected,1566,,384
need,night,Undirected,1568,,382
need,little,Undirected,1571,,233
need,time,Undirected,1618,,256
need,start,Undirected,1645,,288
need,fuck,Undirected,1669,,219
need,bitch,Undirected,1681,,221
need,water,Undirected,1861,,189
wish,good,Undirected,3597,,357
true,love,Undirected,3935,,381
true,think,Undirected,3936,,428
true,dream,Undirected,4002,,192
day,heart,Undirected,4983,,247
day,away,Undirected,4984,,306
day,love,Undirected,4991,,364
day,think,Undirected,4992,,280
day,night,Undirected,4994,,252
day,world,Undirected,5017,,218
day,die,Undirected,5023,,198
day,way,Undirected,5030,,245
day,play,Undirected,5042,,236
day,girl,Undirected,5048,,265
day,life,Undirected,5066,,215
day,bad,Undirected,5087,,246
baby,tonight,Undirected,5970,,240
baby,right,Undirected,5980,,893
baby,friend,Undirected,5994,,230
baby,heart,Undirected,5997,,350
baby,fall,Undirected,5999,,239
baby,love,Undirected,6000,,2668
baby,feel,Undirected,6008,,328
baby,night,Undirected,6011,,612
baby,long,Undirected,6012,,311
baby,leave,Undirected,6015,,386
baby,lose,Undirected,6016,,502
baby,say,Undirected,6020,,739
baby,think,Undirected,6022,,1706
baby,life,Undirected,6027,,222
baby,girl,Undirected,6037,,412
baby,sleep,Undirected,6042,,422
baby,way,Undirected,6048,,621
baby,home,Undirected,6051,,247
baby,control,Undirected,6060,,228
baby,crazy,Undirected,6070,,205
baby,help,Undirected,6071,,379
baby,blame,Undirected,6074,,315
baby,sweet,Undirected,6077,,286
baby,guess,Undirected,6078,,390
baby,good,Undirected,6088,,292
baby,believe,Undirected,6101,,232
baby,kiss,Undirected,6108,,252
baby,boy,Undirected,6109,,383
baby,well,Undirected,6159,,362
baby,end,Undirected,6162,,275
baby,miss,Undirected,6168,,239
baby,time,Undirected,6196,,244
baby,shit,Undirected,6202,,415
baby,nigga,Undirected,6212,,231
baby,fuck,Undirected,6214,,305
baby,lie,Undirected,6218,,191
baby,young,Undirected,6271,,191
baby,try,Undirected,6331,,264
baby,wrong,Undirected,6340,,315
